composer
"Jensen, Gustav"
"Jensen, Niels Peter"
"Jepson, Harry Benjamin"
"Joachim, Joseph"
"Jommelli, Niccolò"
"Joncières, Victorin de"
"Jones, Edward"
"Joplin, Scott"
"Joseffy, Rafael"
"Josquin Desprez"
"Juon, Paul"
"Kahn, Robert"
"Kalkbrenner, Friedrich Wilhelm"
"Kalliwoda, Johann Wenzel"
"Kammel, Antonín"
"Kapeller, Johann Nepomuk"
"Karg-Elert, Sigfrid"
"Kastner, Jean-Georges"
"Kaun, Hugo"
"Kayser, Heinrich Ernst"
"Keeble, John"
"Kefer, Louis"
"Keiser, Reinhard"
"Kellner, Johann Christoph"
"Kellner, Johann Peter"
"Kennedy-Fraser, Marjory"
"Kessler, Joseph Christoph"
"Kiel, Friedrich"
"Kimball, Jacob"
"Kirchner, Theodor"
"Kirnberger, Johann Philipp"
"Kjerulf, Halfdan"
"Kleczyński, Jan Baptysta"
"Klein, Bruno Oscar"
"Klengel, August Alexander"
"Klengel, Julius"
"Klengel, Paul"
"Kling, Henri"
"Klughardt, August"
"Klöffler, Johann Friedrich"
"Knapp, William"
"Koch, Friedrich Ernst"
"Kocžwara, František"
"Koessler, Hans"
"Kopprasch, Georg"
"Kopylov, Alexander"
"Koreshchenko, Arseny"
"Kospoth, Otto Carl Erdmann"
"Kotek, Yosif"
"Kowalewski, Jakub"
"Kowalski, Henri"
"Kozeluch, Leopold"
"Kraft, Anton"
"Krakamp, Emmanuele"
"Krause, Paul Otto"
"Krebs, Johann Ludwig"
"Krehl, Stephan"
"Kreutzer, Conradin"
"Kreutzer, Joseph"
"Kreutzer, Rodolphe"
"Kreuz, Emil"
"Krieger, Adam"
"Krommer, Franz"
"Kronke, Emil"
"Krufft, Nikolaus von"
"Kryzhanovsky, Ivan Ivanovich"
"Krzyżanowski, Ignacy"
"Kubelík, Jan"
"Kuczborski, Kamil Rafał Tomasz"
"Kudelski, Carl Matthias"
"Kuhe, Wilhelm"
"Kuhlau, Friedrich"
"Kuhnau, Johann"
"Kullak, Theodor"
"Kummer, Friedrich August"
"Kummer, Gotthelf Heinrich"
"Kummer, Kaspar"
"Kunits, Luigi von"
"Kunkel, Charles"
"Kunkel, Jacob"
"Kunzen, Adolph Carl"
"Kunzen, Friedrich Ludwig Aemilius"
"Köchel, Ludwig"
"Köhler, Ernesto"
"Köhler, Louis"
"Kücken, Friedrich Wilhelm"
"Küffner, Joseph"
"Kühnel, August"
"Labor, Josef"
"Lachner, Franz Paul"
"Lachner, Ignaz"
"Lachner, Vinzenz"
"Lack, Théodore"
"Lacombe, Louis"
"Lacroix, Eugène"
